,Tweet Count,Username,Text,Created At,Retweets,Likes
66,67,Resta Gulayah,program mbg kunci umkm pangan tumbuh bersinar mbgdorongekonomi,Fri Jan 31 15:16:20 +0000 2025,0,0
67,68,Hengki Setiabudi,mbg program keren bantu umkm pangan melebarkan sayap yuk tingkatin kualitas biar kinclong mbgdorongekonomi,Fri Jan 31 15:12:08 +0000 2025,0,0
68,69,Suryadi Pangaribuan,program mbg pintu gerbang umkm pangan maju mbgdorongekonomi,Fri Jan 31 15:05:16 +0000 2025,0,0
69,70,Ifa Mulyani,program mbg dorong kreativitas daya saing umkm pangan mbgdorongekonomi,Fri Jan 31 15:00:53 +0000 2025,0,0
70,71,Gatot Wibisono,program mbg menciptakan lingkungan positif umkm pangan mbgdorongekonomi,Fri Jan 31 14:58:01 +0000 2025,0,0
71,72,Media Indonesia,warga negara indonesia wni jerman membandingkan komentar komentar positif orang jerman dibandingkan orang indonesia menyikapi m program makan bergizi gratis mbg indonesia,Fri Jan 31 14:55:21 +0000 2025,0,1
72,73,Eko Adrian,peluang umkm berkat program mbg jos banget mbgdorongekonomi,Fri Jan 31 14:55:01 +0000 2025,0,0
73,74,Lidya Yuniar,umkm pangan bersinar bareng program mbg mbgdorongekonomi,Fri Jan 31 14:54:16 +0000 2025,0,0
74,75,Wong Jowo,ketahuan banget goblok literasi,Fri Jan 31 14:52:38 +0000 2025,0,1
75,76,Ihsan Taufik,sukses umkm pangan berkat hadirnya program mbg mbgdorongekonomi,Fri Jan 31 14:52:27 +0000 2025,0,0
76,77,Lidya Fujiati,umkm pangan lincah dinamis berkat program mbg mbgdorongekonomi,Fri Jan 31 14:49:16 +0000 2025,0,0
77,78,Tahira Gamirah,lewatkan kesempatan berkembang program mbg mbgdorongekonomi,Fri Jan 31 14:48:15 +0000 2025,0,0
78,79,Herianto,jg sebulan program berjalan blm indonesia udah keok mitra mbg,Fri Jan 31 14:42:31 +0000 2025,0,0
79,80,Nur Lafita,program mbg dorong pertumbuhan ekonomi dukungan umkm pangan mbgdorongekonomi,Fri Jan 31 14:42:27 +0000 2025,0,0
80,81,Lukman Darmali,program mbg sukses bantu umkm discoverable reachable pasaran mbgdorongekonomi,Fri Jan 31 14:40:53 +0000 2025,0,0
81,82,Media Indonesia,oknum paguyuban jakwir diduga penipuan program makan bergizi gratis mbg mengaku utusan khusus presiden menyebut nama mayor teddy melancarkan aksinya,Fri Jan 31 14:40:00 +0000 2025,1,1
82,83,Indri Rahmi,tangan cerita sukses program mbg umkm mbgdorongekonomi,Fri Jan 31 14:39:29 +0000 2025,0,0
83,84,Mufidah Alah,program mbg hadir tingkatkan daya saing umkm pangan mbgdorongekonomi,Fri Jan 31 14:39:21 +0000 2025,0,0
84,85,Maya Salma,program mbg bikin umkm pangan harapan mbgdorongekonomi,Fri Jan 31 14:37:42 +0000 2025,0,0
85,86,Panca Saptono,umkm pangan berkembang level bantuan program mbg mbgdorongekonomi,Fri Jan 31 14:37:40 +0000 2025,0,0
86,87,Tugu Jogja,potensi sisa sampah makanan program mbg diy pakar,Fri Jan 31 14:36:58 +0000 2025,0,0
87,88,Satria Fathan,program mbg melibatkan umkm pilar kuat ekonomi mbgdorongekonomi,Fri Jan 31 14:31:42 +0000 2025,0,0
88,89,Putri Aidar,dukung umkm aktor vital perubahan program mbg mbgdorongekonomi,Fri Jan 31 14:30:40 +0000 2025,0,0
89,90,M. Y. A,udah gaji thr tukin program mbg,Fri Jan 31 14:30:35 +0000 2025,0,0
90,91,Indra Surya,program mbg bikin pilihan makan banget kerjaan umkm meningkat mbgdorongekonomi,Fri Jan 31 14:29:49 +0000 2025,0,0
91,92,Nur Wahyuni,program mbg inovasi umkm pangan mantap mbgdorongekonomi,Fri Jan 31 14:29:44 +0000 2025,0,0
92,93,Aris singgih,program mbg bikin umkm bergerak misi menghadirkan menu sehat ala lokal showcase talenta produksi pusat gizi mbgdorongekonomi,Fri Jan 31 14:28:47 +0000 2025,0,0
93,94,John,umkm pangan kuat mandiri program mbg mbgdorongekonomi,Fri Jan 31 14:27:45 +0000 2025,0,0
94,95,Hariyanto Simdang,karya umkm pangan dikenal berkat program mbg mbgdorongekonomi,Fri Jan 31 14:27:32 +0000 2025,0,0
95,96,Rahman Sutarman,mbg program peluang umkm pangan berkembang pesat mbgdorongekonomi,Fri Jan 31 14:25:44 +0000 2025,0,0
96,97,antaranews.com,siapkan calon penerima manfaat program mbg kabupaten rejang lebong paud tk sd smp sma smk sederajat mencapai pelajar kepala disdikbud rejang lebong noprianto,Fri Jan 31 14:23:59 +0000 2025,0,0
97,98,Bagas Wirawan,program mbg bikin umkm pangan cuan amp tembus pasar internasional produk unggulan mbgdorongekonomi,Fri Jan 31 14:23:52 +0000 2025,0,0
98,99,Ayum Nahruya,program mbg landasan kuat umkm pangan berani bersaing pasar internasional mbgdorongekonomi,Fri Jan 31 14:23:50 +0000 2025,0,0
99,100,Alda Maliha,program mbg momentum umkm pangan biar lepas landas mbgdorongekonomi,Fri Jan 31 14:23:10 +0000 2025,0,0
100,101,Galingga Arya,arahkan langkah inovatif umkm pangan program mbg mbgdorongekonomi,Fri Jan 31 14:21:13 +0000 2025,0,0
101,102,Khansa Putri,umkm pangan berkelas ikutan program mbg biar jangkauan luas mbgdorongekonomi,Fri Jan 31 14:20:47 +0000 2025,0,0
102,103,Ahmad Efendi,semangat gotong royong tingkatkan umkm bareng program mbg mbgdorongekonomi,Fri Jan 31 14:20:45 +0000 2025,0,0
103,104,GiLaS,lho lho mitra mundur trus program mbg bs mandeg donk,Fri Jan 31 14:20:00 +0000 2025,0,1
104,105,meirisya fajrianti,lapangan kerja hadir berkat program mbg ayo semangat mbgdorongekonomi,Fri Jan 31 14:19:05 +0000 2025,0,0
105,106,Maulana Fadhil,program mbg bantu umkm pangan optimis pertumbuhan ekonomi daerah mbgdorongekonomi,Fri Jan 31 14:18:03 +0000 2025,0,0
